"","id","host_is_superhost","host_identity_verified","room_type","accommodates","bathrooms","bedrooms","price"
"105",15955405,"False","False","Entire home/apt",4,"1.5",2,249
"106",16288535,"True","False","Entire home/apt",4,"1",2,131
"107",16579012,"True","True","Entire home/apt",3,"1",0,99
"108",16650097,"False","True","Entire home/apt",3,"1",1,109
"109",16943524,"True","False","Entire home/apt",4,"1",1,100
"110",16962405,"True","False","Entire home/apt",6,"1",2,250
"111",17011270,"True","True","Entire home/apt",4,"1",2,225
"112",17045571,"False","True","Entire home/apt",16,"4",4,500
"113",17190446,"True","True","Entire home/apt",4,"1",1,110
"114",17369268,"True","False","Entire home/apt",2,"1",0,110
"115",17716612,"False","True","Entire home/apt",10,"2.5",4,350
"116",18250766,"False","False","Private room",1,"1",1,100
"117",18266409,"True","True","Entire home/apt",4,"1",1,160
"118",18313275,"False","True","Entire home/apt",7,"two",3,300
"119",18408837,"False","True","Entire home/apt",3,"1",1,95
"120",18409620,"True","True","Entire home/apt",2,"1",1,66
"121",18430634,"True","False","Entire home/apt",4,"1",2,175
"122",18491600,"True","True","Entire home/apt",3,"1",1,85
"123",18491674,"True","True","Entire home/apt",3,"1",1,148
"124",18497873,"True","False","Entire home/apt",2,"1",1,150
"125",18509560,"False","False","Entire home/apt",7,"two",4,350
"126",18638163,"True","True","Entire home/apt",2,"1",0,113
"127",18651789,"False","True","Entire home/apt",2,"1",0,120
"128",19271432,"False","True","Entire home/apt",16,"two",5,475
"129",19768466,"False","False","Entire home/apt",8,"3.5",3,550
"130",19846504,"True","False","Entire home/apt",4,"two",2,182
"131",19891890,"False","True","Entire home/apt",2,"1",1,70
"132",20050709,"False","False","Private room",2,"1",1,75
"133",20071314,"False","False","Private room",2,"1",1,75
"134",20141183,"True","True","Private room",2,"1",1,80
"135",20254813,"True","True","Entire home/apt",6,"2.5",4,150
"136",20328571,"True","True","Entire home/apt",3,"1",1,110
"137",20381725,"True","True","Entire home/apt",16,"4",7,799
"138",20481127,"False","True","Shared room",1,"1",1,45
"139",20572116,"True","False","Entire home/apt",4,"1",1,105
"140",20638901,"False","False","Entire home/apt",6,"1",2,213
"141",20750562,"False","True","Entire home/apt",16,"3",5,425
"142",20774329,"True","False","Entire home/apt",14,"2.5",3,264
"143",20935982,"False","False","Private room",2,"1",1,65
"144",20961349,"False","True","Entire home/apt",5,"two",2,325
"145",20962091,"False","True","Entire home/apt",7,"two",3,395
"146",21011094,"False","True","Private room",4,"1",2,120
"147",21014515,"False","True","Entire home/apt",7,"two",3,425
"148",21015000,"False","True","Entire home/apt",16,"6",8,1650
"149",21082007,"True","False","Private room",1,"1",1,75
"150",21170317,"False","False","Entire home/apt",10,"3",5,425
"151",21266027,"True","True","Entire home/apt",2,"1",1,95
"152",21460781,"True","False","Entire home/apt",2,"1",1,75
"153",21646493,"False","True","Entire home/apt",4,"1.5",2,200
"154",21682649,"False","True","Private room",2,"1",1,65
"155",21799017,"True","True","Entire home/apt",5,"1",2,250
"156",22162238,"False","True","Private room",2,"1",0,60
"157",22493797,"False","False","Entire home/apt",4,"1",0,161
"158",22497982,"False","True","Private room",2,"1.5",1,60
"159",22587024,"False","True","Entire home/apt",2,"1.5",1,78
"160",23080440,"False","True","Entire home/apt",12,"3",4,475
"161",23127965,"True","True","Entire home/apt",4,"1",1,134
"162",23256472,"True","False","Entire home/apt",NA,"1",1,98
"163",23278753,"True","False","Private room",2,"1",1,54
"164",23321478,"True","False","Entire home/apt",14,"3",6,649
"165",23452327,"False","False","Entire home/apt",4,"1",0,233
"166",23469069,"True","True","Entire home/apt",3,"1",0,80
"167",23773281,"True","False","Entire home/apt",2,"1",1,129
"168",23786099,"False","False","Entire home/apt",4,"1",2,175
"169",24254138,"True","True","Entire home/apt",4,"1.5",2,169
"170",24395100,"True","False","Entire home/apt",14,"3.5",7,550
"171",24519640,"True","False","Entire home/apt",4,"1",1,130
"172",24555437,"True","True","Entire home/apt",4,"1",1,150
"173",24561301,"False","True","Entire home/apt",4,"1",2,90
"174",24630096,"False","False","Entire home/apt",5,"1",2,202
"175",24653260,"False","False","Entire home/apt",4,"1",1,182
"176",24674282,"False","False","Entire home/apt",2,"1",0,95
"177",24755524,"True","True","Entire home/apt",6,"1.5",2,190
"178",25047285,"True","False","Entire home/apt",4,"1",1,106
"179",25115867,"False","True","Entire home/apt",3,"1",1,59
"180",25213896,"True","False","Entire home/apt",4,"1",2,200
"181",25296669,"True","True","Entire home/apt",4,"1",1,109
"182",25521162,"True","False","Entire home/apt",9,"3",3,623
"183",25781184,"True","False","Entire home/apt",5,"1",2,150
"184",25950747,"True","True","Entire home/apt",2,"1",1,70
"185",26001483,"True","False","Entire home/apt",6,"1.5",2,345
"186",26136412,"False","False","Entire home/apt",2,"1",1,150
"187",26279366,"True","True","Entire home/apt",6,"two",3,250
"188",26448115,"True","False","Entire home/apt",8,"1.5",3,450
"189",26448460,"True","False","Entire home/apt",4,"1",1,150
"190",26788913,"True","True","Entire home/apt",4,"1",1,149
"191",26841053,"True","False","Entire home/apt",6,"1",3,260
"192",27526987,"False","True","Entire home/apt",NA,"1",1,100
"193",27554308,"False","False","Private room",2,"1",1,62
"194",27627252,"True","False","Entire home/apt",4,"1",2,120
"195",27682114,"False","False","Entire home/apt",2,"1",1,191
"196",27706051,"True","True","Private room",4,"1",2,250
"197",28202957,"True","False","Entire home/apt",NA,"1",2,90
"198",28558249,"True","False","Private room",5,"1.5",1,150
"199",28559462,"True","False","Private room",2,"1.5",1,120
"200",28786706,"True","True","Private room",1,"1",1,72
"201",28841487,"True","True","Private room",1,"1",1,72
"202",29159086,"False","True","Entire home/apt",NA,"3",5,300
"203",29275038,"False","True","Entire home/apt",6,"1",2,115
"204",29278900,"False","True","Entire home/apt",6,"1",1,100
"205",29396603,"True","True","Entire home/apt",2,"1",1,125
"206",29628945,"True","False","Entire home/apt",6,"1",2,200
"207",29652423,"False","False","Private room",1,"1",1,32
"208",30430318,"False","True","Entire home/apt",16,"3",5,400
